"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 27 15:10:13 GMT 2023","Thu Apr 27 15:10:13 GMT 2023","1","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendAMessage","sendAMessage",""
"passed","Thu Apr 27 15:10:13 GMT 2023","Thu Apr 27 15:10:13 GMT 2023","0","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Thu Apr 27 15:10:13 GMT 2023","Thu Apr 27 15:10:13 GMT 2023","1","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","rollbackATransaction","rollbackATransaction",""
"passed","Thu Apr 27 15:10:13 GMT 2023","Thu Apr 27 15:10:13 GMT 2023","1","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","validateTransaction","validateTransaction",""
"passed","Thu Apr 27 15:10:13 GMT 2023","Thu Apr 27 15:10:13 GMT 2023","1","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"unknown","Thu Apr 27 15:10:12 GMT 2023","Thu Apr 27 15:10:12 GMT 2023","3","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","entertainmentSystem","entertainmentSystem",""
"passed","Thu Apr 27 15:10:13 GMT 2023","Thu Apr 27 15:10:13 GMT 2023","40","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","validateCard","validateCard",""
"passed","Thu Apr 27 15:10:13 GMT 2023","Thu Apr 27 15:10:13 GMT 2023","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendAMessage","sendAMessage",""
"passed","Thu Apr 27 15:10:13 GMT 2023","Thu Apr 27 15:10:13 GMT 2023","1","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Thu Apr 27 15:10:13 GMT 2023","Thu Apr 27 15:10:13 GMT 2023","1","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","brakes","brakes",""
"failed","Thu Apr 27 15:10:13 GMT 2023","Thu Apr 27 15:10:13 GMT 2023","17","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","dontFixMe","dontFixMe",""
"passed","Thu Apr 27 15:10:13 GMT 2023","Thu Apr 27 15:10:13 GMT 2023","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendCommunication","sendCommunication",""
"passed","Thu Apr 27 15:10:13 GMT 2023","Thu Apr 27 15:10:13 GMT 2023","0","Surefire suite","Surefire test","com.costa.luiz.testng.SpaceShipTest","com.costa.luiz.testng.SpaceShipTest","checkMeasureToBeMetric","Check the measure to be metric",""
